"epiunitID","serotype","Longitude","Latitude","Date"
26893,"O",34.819405,39.822132,2007-04-10
5516,"O",34.504049,41.135078,2007-04-11
3646,"O",42.550815,37.617679,2007-04-11
14721,"O",42.628108,40.83735,2007-04-11
27837,"O",42.628108,40.83735,2007-04-11
22161,"O",31.480696,38.34847,2007-04-12
24460,"O",42.550815,37.617679,2007-04-12
11071,"O",42.628108,40.83735,2007-04-12
26411,"O",42.628108,40.83735,2007-04-12
45942,"O",30.180279,38.4514,2007-04-14
14041,"O",31.544173,39.400504,2007-04-15
15428,"O",29.730606,40.900415,2007-04-15
9605,"O",35.454177,40.817841,2007-04-15
12300,"O",33.865535,38.284408,2007-04-16
15118,"O",42.628108,40.83735,2007-04-16
18288,"O",34.322676,40.195074,2007-04-17
9841,"O",41.39298,40.375904,2007-04-17
20880,"O",32.766861,37.482305,2007-04-17
22494,"A",32.766861,37.482305,2007-04-17
10271,"O",42.594821,37.290464,2007-04-19
11713,"O",33.995284,40.3685,2007-04-20
33531,"O",30.536704,38.785375,2007-04-20
21844,"O",31.938845,38.227524,2007-04-20
17828,"O",33.16136,40.060831,2007-04-20
15049,"O",35.228893,39.237252,2007-04-20
43555,"O",31.938845,38.227524,2007-04-21
40795,"O",30.045464,40.776057,2007-04-22
2366,"O",32.241936,40.214076,2007-04-22
2715,"O",32.826498,40.05386,2007-04-22
13352,"O",42.358263,37.295959,2007-04-22
26155,"O",28.51253,39.975895,2007-04-23
33434,"O",39.304451,40.97671,2007-04-23
4995,"O",28.916652,39.926295,2007-04-24
44493,"O",30.586076,39.768938,2007-04-24
13035,"A",44.225456,37.551326,2007-04-26
4183,"O",38.261284,37.708417,2007-04-27
22244,"O",37.275748,36.984877,2007-04-27
956,"O",37.275748,36.984877,2007-04-27
1493,"O",35.843021,41.458498,2007-04-27
29050,"O",33.99996,39.992474,2007-04-27
35611,"A",35.843021,41.458498,2007-04-28
24206,"O",34.322676,40.195074,2007-04-29
46537,"O",31.480696,38.34847,2007-04-30
31095,"O",29.544204,39.815565,2007-04-30
6941,"O",35.843021,41.458498,2007-05-01
50734,"O",32.565315,38.018344,2007-05-03
4626,"O",33.730865,39.888632,2007-05-04
25559,"O",40.187119,37.712549,2007-05-05
6918,"O",34.875468,40.489752,2007-05-06
228,"O",41.295639,40.016936,2007-05-06
25216,"O",33.695789,39.586025,2007-05-06
23425,"O",36.785147,37.376135,2007-05-08
43274,"O",29.447977,39.563194,2007-05-09
40236,"O",34.720632,38.619201,2007-05-09
23671,"O",40.111365,38.995031,2007-05-10
10498,"O",38.175075,38.217928,2007-05-10
40969,"O",34.48722,38.288815,2007-05-10
946,"O",33.023156,40.26714,2007-05-10
4853,"O",28.890598,40.222042,2007-05-11
2746,"O",28.916652,39.926295,2007-05-11
31036,"O",34.778457,39.283024,2007-05-11
12689,"O",33.300151,39.877574,2007-05-11
32607,"O",42.209339,40.037681,2007-05-12
27198,"A",33.223573,41.000141,2007-05-13
4317,"A",36.941807,41.183428,2007-05-13
22025,"O",33.695789,39.586025,2007-05-13
47413,"O",40.219332,38.011024,2007-05-14
32764,"O",34.819405,39.822132,2007-05-14
19432,"O",42.695508,41.064583,2007-05-15
14233,"O",35.679775,38.341557,2007-05-16
8128,"O",27.384176,37.647109,2007-05-16
26101,"O",28.840761,39.742225,2007-05-17
40446,"O",38.993188,38.024342,2007-05-17
22993,"O",39.931931,39.813106,2007-05-17
12480,"O",35.843999,40.21095,2007-05-18
16920,"O",43.260383,40.622435,2007-05-20
23430,"O",29.581914,41.107115,2007-05-21
15857,"O",35.648362,38.676584,2007-05-21
7735,"O",30.910828,37.822051,2007-05-22
20370,"O",40.912957,37.285468,2007-05-22
4005,"O",33.528296,39.673729,2007-05-22
39078,"O",43.358641,40.964702,2007-05-23
6305,"O",43.358641,40.964702,2007-05-23
26888,"O",34.819405,39.822132,2007-05-23
46232,"O",28.840761,39.742225,2007-05-24
38372,"O",39.292181,39.34689,2007-05-24
44139,"O",37.413031,39.214318,2007-05-25
11850,"O",31.028086,39.543383,2007-05-27
12445,"O",34.389606,39.585605,2007-05-28
5634,"O",41.876795,40.303873,2007-05-29
37809,"O",33.358359,36.358671,2007-05-29
31540,"O",30.226163,37.628217,2007-05-30
5243,"O",27.635533,38.78219,2007-05-30
16412,"O",42.913314,39.216612,2007-06-01
32690,"O",30.750228,40.642213,2007-06-01
47043,"O",35.843999,40.21095,2007-06-01
53457,"O",43.044303,37.407021,2007-06-01
25150,"O",38.643369,38.560882,2007-06-03
36081,"O",34.811513,38.165102,2007-06-03
24361,"O",31.940524,41.144889,2007-06-05
26597,"O",37.115324,40.506462,2007-06-06
14135,"O",30.058179,39.414319,2007-06-07
19139,"O",34.476876,39.127491,2007-06-08
8628,"O",30.750228,40.642213,2007-06-08
